epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,9331.18,1.16995,0.82589,1.20664,0.88193,0.77112,0.85765,0.58655,1.26542,0.80657,1.28473,0.00789815,0.00789815,0.00789815
71,9461.62,1.1609,0.81302,1.19618,0.87477,0.78003,0.85774,0.58903,1.26496,0.80362,1.28608,0.00786769,0.00786769,0.00786769
72,9591.98,1.16592,0.81833,1.20326,0.87229,0.78546,0.85737,0.5896,1.26158,0.80273,1.28629,0.00783723,0.00783723,0.00783723
73,9734.02,1.16035,0.81678,1.20411,0.87264,0.78947,0.85965,0.59157,1.25816,0.80216,1.28625,0.00780677,0.00780677,0.00780677
74,9864.41,1.14889,0.80762,1.19621,0.86951,0.78961,0.86064,0.59302,1.25615,0.79585,1.28662,0.00777631,0.00777631,0.00777631
75,9994.84,1.14717,0.80263,1.19248,0.88103,0.78382,0.86207,0.59565,1.25272,0.79423,1.2826,0.00774585,0.00774585,0.00774585
76,10136.8,1.14774,0.80298,1.18963,0.87736,0.78763,0.86272,0.59767,1.2498,0.79441,1.28248,0.00771538,0.00771538,0.00771538
77,10267.2,1.14737,0.80202,1.1919,0.87938,0.78471,0.86283,0.59834,1.24805,0.7909,1.28091,0.00768492,0.00768492,0.00768492
78,10397.4,1.14135,0.80309,1.19639,0.88175,0.78604,0.86384,0.60073,1.24438,0.78954,1.27888,0.00765446,0.00765446,0.00765446
79,10540.3,1.1377,0.79194,1.18828,0.88504,0.78412,0.86473,0.602,1.24237,0.78783,1.27686,0.007624,0.007624,0.007624
80,10670.6,1.13553,0.79361,1.18213,0.88453,0.78877,0.86495,0.60236,1.23901,0.78545,1.27318,0.00759354,0.00759354,0.00759354
81,10801.3,1.12505,0.78571,1.18471,0.8862,0.78649,0.86404,0.60321,1.23759,0.78466,1.27266,0.00756308,0.00756308,0.00756308
82,10932.1,1.13111,0.78543,1.18284,0.88872,0.78293,0.86377,0.60462,1.23493,0.78652,1.27132,0.00753262,0.00753262,0.00753262
83,11071.9,1.12081,0.77729,1.17213,0.88779,0.78471,0.86401,0.60539,1.2321,0.78506,1.27097,0.00750215,0.00750215,0.00750215
84,11202.1,1.12945,0.78521,1.17878,0.89186,0.78382,0.864,0.60654,1.23013,0.78313,1.27078,0.00747169,0.00747169,0.00747169
85,11332.5,1.11236,0.76852,1.17165,0.89353,0.78558,0.86467,0.60738,1.2282,0.78181,1.26983,0.00744123,0.00744123,0.00744123
86,11474.6,1.11982,0.77096,1.17482,0.89922,0.78151,0.86567,0.608,1.22554,0.78141,1.26875,0.00741077,0.00741077,0.00741077
87,11605,1.11082,0.76782,1.17081,0.89421,0.78557,0.86578,0.60895,1.2236,0.78206,1.26666,0.00738031,0.00738031,0.00738031
88,11735.7,1.10852,0.76465,1.17146,0.89458,0.78488,0.86532,0.60877,1.22133,0.78179,1.26462,0.00734985,0.00734985,0.00734985
89,11866,1.10217,0.76015,1.16478,0.89034,0.78715,0.86505,0.6091,1.22195,0.78192,1.26529,0.00731938,0.00731938,0.00731938
90,12008,1.10683,0.76287,1.16745,0.89642,0.78226,0.86402,0.60941,1.22061,0.78091,1.26461,0.00728892,0.00728892,0.00728892
91,12137.9,1.09699,0.75912,1.16354,0.9,0.78271,0.8646,0.61024,1.21772,0.78143,1.26267,0.00725846,0.00725846,0.00725846
92,12268,1.10115,0.75528,1.16153,0.89091,0.78783,0.86439,0.61114,1.21553,0.78137,1.26098,0.007228,0.007228,0.007228
93,12410,1.09874,0.75984,1.16128,0.89254,0.78668,0.86444,0.6119,1.21355,0.78211,1.25988,0.00719754,0.00719754,0.00719754
94,12540.4,1.0843,0.74252,1.15605,0.88764,0.79051,0.86454,0.61314,1.21372,0.78245,1.26065,0.00716708,0.00716708,0.00716708
95,12671.1,1.09094,0.74604,1.16094,0.88792,0.79097,0.86498,0.61409,1.21133,0.78087,1.2597,0.00713662,0.00713662,0.00713662
96,12801.6,1.08703,0.74916,1.15422,0.88623,0.79184,0.86492,0.61464,1.2104,0.78016,1.25901,0.00710615,0.00710615,0.00710615
97,12943.8,1.09106,0.74561,1.15602,0.88183,0.79563,0.86516,0.61464,1.2098,0.77919,1.25875,0.00707569,0.00707569,0.00707569
98,13074.4,1.07448,0.72873,1.15014,0.88225,0.79481,0.86509,0.61524,1.20911,0.77768,1.25852,0.00704523,0.00704523,0.00704523
99,13204.9,1.06878,0.73095,1.14714,0.87742,0.79919,0.86483,0.61579,1.20836,0.77755,1.25814,0.00701477,0.00701477,0.00701477
100,13347.1,1.07516,0.73261,1.14572,0.87729,0.80143,0.86548,0.61646,1.20763,0.77782,1.25742,0.00698431,0.00698431,0.00698431
101,13477.7,1.07465,0.73131,1.14722,0.88348,0.79591,0.86501,0.61662,1.20658,0.77716,1.25642,0.00695385,0.00695385,0.00695385
102,13608.4,1.05748,0.72347,1.14463,0.88016,0.80042,0.86523,0.61663,1.2057,0.77612,1.25622,0.00692338,0.00692338,0.00692338
103,13739.1,1.07031,0.72666,1.14482,0.88586,0.79567,0.86539,0.6166,1.2045,0.77475,1.25525,0.00689292,0.00689292,0.00689292
104,13881.9,1.07161,0.72694,1.14631,0.88308,0.79652,0.8647,0.61718,1.20348,0.77406,1.25452,0.00686246,0.00686246,0.00686246
105,14012.4,1.06253,0.72205,1.14366,0.88073,0.79875,0.86514,0.61787,1.20199,0.77398,1.25352,0.006832,0.006832,0.006832
106,14143.4,1.06027,0.72099,1.13776,0.88125,0.79883,0.86506,0.61786,1.20117,0.77351,1.25275,0.00680154,0.00680154,0.00680154
107,14286.6,1.05656,0.71244,1.13679,0.88182,0.80053,0.86496,0.6187,1.19983,0.77341,1.25218,0.00677108,0.00677108,0.00677108
108,14417,1.04682,0.7119,1.13638,0.88186,0.80017,0.86542,0.61869,1.19909,0.77334,1.25208,0.00674062,0.00674062,0.00674062
109,14547.4,1.04871,0.71177,1.13044,0.87926,0.80299,0.86572,0.61907,1.19834,0.77299,1.25153,0.00671015,0.00671015,0.00671015
