epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4685.39,1.33101,1.02981,1.32298,0.81603,0.74014,0.81866,0.51072,1.43343,0.94069,1.39084,0.00823323,0.00823323,0.00823323
60,4769.07,1.34169,1.02671,1.32397,0.81422,0.7466,0.81921,0.51212,1.42847,0.93388,1.3914,0.00820277,0.00820277,0.00820277
61,4852.61,1.33748,1.02238,1.31894,0.82328,0.74445,0.82089,0.51438,1.4242,0.9325,1.3866,0.00817231,0.00817231,0.00817231
62,4940.91,1.33392,1.02353,1.32116,0.83226,0.73635,0.82062,0.51406,1.42085,0.92984,1.38559,0.00814185,0.00814185,0.00814185
63,5036.11,1.33535,1.01864,1.31733,0.83287,0.74079,0.82422,0.51756,1.4148,0.92724,1.37992,0.00811138,0.00811138,0.00811138
64,5117.35,1.32462,1.00699,1.30555,0.84659,0.74014,0.82757,0.52259,1.40655,0.91913,1.37269,0.00808092,0.00808092,0.00808092
65,5199.15,1.32753,1.00789,1.30755,0.85504,0.73323,0.82775,0.52593,1.39605,0.913,1.36825,0.00805046,0.00805046,0.00805046
66,5282.65,1.32487,1.00327,1.31112,0.85472,0.73427,0.82549,0.52578,1.39288,0.91637,1.36395,0.00802,0.00802,0.00802
67,5373.57,1.31534,1.00006,1.30587,0.84281,0.73965,0.82706,0.52705,1.39304,0.91251,1.36663,0.00798954,0.00798954,0.00798954
68,5470.12,1.31043,0.99651,1.29919,0.84956,0.73752,0.82931,0.52834,1.38914,0.90843,1.36149,0.00795908,0.00795908,0.00795908
69,5567.49,1.31048,0.99619,1.29912,0.83935,0.74873,0.82917,0.52991,1.38518,0.90784,1.35968,0.00792862,0.00792862,0.00792862
70,5654.44,1.31064,0.98803,1.30084,0.84311,0.74705,0.83081,0.5305,1.38645,0.90358,1.36096,0.00789815,0.00789815,0.00789815
71,5737.25,1.30543,0.98518,1.29209,0.8354,0.75217,0.832,0.53154,1.38355,0.90135,1.35885,0.00786769,0.00786769,0.00786769
72,5819.76,1.30745,0.98397,1.29096,0.83811,0.7544,0.83261,0.53376,1.38256,0.89905,1.35664,0.00783723,0.00783723,0.00783723
73,5903.21,1.30171,0.97811,1.2907,0.84199,0.75177,0.83337,0.53505,1.38135,0.89835,1.35651,0.00780677,0.00780677,0.00780677
74,5999.29,1.29554,0.97169,1.28685,0.84478,0.74716,0.83411,0.53602,1.37928,0.89386,1.35492,0.00777631,0.00777631,0.00777631
75,6095.44,1.28958,0.96974,1.28438,0.83771,0.75698,0.83536,0.53872,1.37409,0.89181,1.35191,0.00774585,0.00774585,0.00774585
76,6192.61,1.29668,0.97162,1.28116,0.85754,0.7432,0.83527,0.54083,1.36926,0.89278,1.34902,0.00771538,0.00771538,0.00771538
77,6289.55,1.29848,0.96666,1.28739,0.84725,0.75396,0.83678,0.5435,1.36531,0.89148,1.34492,0.00768492,0.00768492,0.00768492
78,6398.57,1.29123,0.9713,1.28778,0.84775,0.7524,0.83788,0.54561,1.36318,0.88833,1.34333,0.00765446,0.00765446,0.00765446
79,6495.54,1.28936,0.96161,1.2821,0.85026,0.75195,0.83805,0.54594,1.36078,0.88629,1.34045,0.007624,0.007624,0.007624
80,6592.63,1.28721,0.95548,1.27831,0.85248,0.75211,0.83829,0.54681,1.35668,0.88363,1.33671,0.00759354,0.00759354,0.00759354
81,6689.28,1.28045,0.95726,1.28053,0.85318,0.75503,0.8408,0.54848,1.35401,0.88237,1.33527,0.00756308,0.00756308,0.00756308
82,6786.52,1.28772,0.95417,1.27722,0.8517,0.75797,0.84053,0.54966,1.35176,0.88035,1.33314,0.00753262,0.00753262,0.00753262
83,6893.19,1.27601,0.94581,1.2693,0.86023,0.75329,0.84118,0.55056,1.34887,0.87776,1.33147,0.00750215,0.00750215,0.00750215
84,6990.48,1.28136,0.9468,1.27004,0.85798,0.75535,0.84097,0.54978,1.34774,0.87696,1.32913,0.00747169,0.00747169,0.00747169
85,7087.62,1.26788,0.9377,1.26759,0.86066,0.75596,0.84158,0.55161,1.34443,0.87612,1.32743,0.00744123,0.00744123,0.00744123
86,7185.38,1.27325,0.94188,1.27075,0.86254,0.75529,0.84235,0.55228,1.34311,0.87574,1.32732,0.00741077,0.00741077,0.00741077
87,7282.6,1.26401,0.93615,1.26787,0.8661,0.75173,0.84235,0.55326,1.34188,0.87317,1.32613,0.00738031,0.00738031,0.00738031
88,7389.16,1.26446,0.93282,1.26391,0.86902,0.75061,0.84271,0.55408,1.34177,0.87165,1.32569,0.00734985,0.00734985,0.00734985
89,7485.89,1.26493,0.9354,1.262,0.8626,0.75554,0.84322,0.55475,1.34071,0.87028,1.32467,0.00731938,0.00731938,0.00731938
90,7583.05,1.25925,0.92752,1.26017,0.86182,0.75757,0.84338,0.55544,1.33736,0.86911,1.32198,0.00728892,0.00728892,0.00728892
91,7679.88,1.2586,0.9293,1.26161,0.85661,0.75953,0.84329,0.55615,1.33594,0.86796,1.32053,0.00725846,0.00725846,0.00725846
92,7786.3,1.25683,0.92134,1.25557,0.86247,0.75618,0.8435,0.55665,1.33377,0.86731,1.3195,0.007228,0.007228,0.007228
93,7882.87,1.25926,0.9286,1.25769,0.85808,0.75908,0.84363,0.55731,1.33208,0.86521,1.31848,0.00719754,0.00719754,0.00719754
94,7979.43,1.25223,0.91551,1.2519,0.85485,0.7622,0.8439,0.55821,1.33047,0.86302,1.31695,0.00716708,0.00716708,0.00716708
95,8075.13,1.25121,0.91153,1.25327,0.85033,0.76465,0.84394,0.55862,1.32875,0.86329,1.31625,0.00713662,0.00713662,0.00713662
96,8172.13,1.24789,0.92306,1.25397,0.85094,0.76462,0.8445,0.55927,1.32923,0.86373,1.31602,0.00710615,0.00710615,0.00710615
97,8278.08,1.25524,0.91897,1.2527,0.86317,0.75641,0.84464,0.55941,1.32836,0.86252,1.31528,0.00707569,0.00707569,0.00707569
98,8374.73,1.24326,0.90229,1.25018,0.86365,0.75663,0.8449,0.55997,1.32764,0.86157,1.31501,0.00704523,0.00704523,0.00704523
99,8471.53,1.23239,0.89704,1.24027,0.86588,0.75682,0.84511,0.56062,1.32604,0.86157,1.31372,0.00701477,0.00701477,0.00701477
100,8568.01,1.23693,0.9032,1.24235,0.86757,0.75632,0.84488,0.56176,1.32428,0.86085,1.31251,0.00698431,0.00698431,0.00698431
101,8664.31,1.24257,0.90273,1.24496,0.86683,0.75728,0.84517,0.56256,1.32334,0.86014,1.31157,0.00695385,0.00695385,0.00695385
102,8769.78,1.22761,0.89494,1.24318,0.86544,0.75819,0.84511,0.56319,1.32207,0.85917,1.31071,0.00692338,0.00692338,0.00692338
103,8865.74,1.23792,0.89805,1.24267,0.86182,0.76313,0.84507,0.56349,1.32156,0.85775,1.31054,0.00689292,0.00689292,0.00689292
104,8961.98,1.24118,0.89815,1.24579,0.86296,0.7622,0.84512,0.56351,1.32023,0.85721,1.31007,0.00686246,0.00686246,0.00686246
105,9058.51,1.23066,0.89045,1.24223,0.85973,0.76493,0.84612,0.5643,1.31934,0.85712,1.30915,0.006832,0.006832,0.006832
106,9166.73,1.22872,0.89359,1.23853,0.86201,0.76291,0.84612,0.56429,1.31807,0.85535,1.30829,0.00680154,0.00680154,0.00680154
107,9262.81,1.23055,0.893,1.23763,0.86062,0.76649,0.84694,0.56493,1.31722,0.85492,1.30795,0.00677108,0.00677108,0.00677108
108,9358.84,1.22166,0.8831,1.23408,0.86337,0.76468,0.84708,0.56572,1.3161,0.85418,1.30705,0.00674062,0.00674062,0.00674062
109,9454.75,1.21663,0.87409,1.22312,0.86181,0.76582,0.84669,0.56612,1.31456,0.85342,1.30596,0.00671015,0.00671015,0.00671015
110,9550.54,1.22801,0.88515,1.2332,0.86121,0.76644,0.84706,0.56671,1.31373,0.85314,1.30548,0.00667969,0.00667969,0.00667969
111,9656.15,1.21804,0.87959,1.23104,0.86361,0.76644,0.84719,0.56734,1.31326,0.85166,1.30491,0.00664923,0.00664923,0.00664923
112,9752.47,1.22205,0.88144,1.2325,0.86284,0.7671,0.84743,0.56752,1.3121,0.85048,1.30439,0.00661877,0.00661877,0.00661877
113,9848.81,1.21903,0.87563,1.22763,0.8623,0.76759,0.84722,0.568,1.31121,0.84921,1.30361,0.00658831,0.00658831,0.00658831
114,9945.33,1.21684,0.87355,1.22709,0.86335,0.76736,0.8473,0.56825,1.30981,0.84845,1.30277,0.00655785,0.00655785,0.00655785
115,10041.6,1.20644,0.86342,1.22123,0.86499,0.76679,0.8469,0.56879,1.30825,0.84743,1.30203,0.00652738,0.00652738,0.00652738
116,10147.6,1.20618,0.86673,1.21918,0.86406,0.76782,0.847,0.56938,1.307,0.84692,1.30069,0.00649692,0.00649692,0.00649692
