epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,15159.3,2.71781,2.14799,2.61338,0.84699,0.73301,0.81974,0.52078,2.84152,1.89382,2.76583,0.00798954,0.00798954,0.00798954
68,15406.7,2.732,2.14651,2.62067,0.84094,0.7359,0.8206,0.52377,2.83617,1.88821,2.76413,0.00795908,0.00795908,0.00795908
69,15676.3,2.72101,2.15214,2.6099,0.82589,0.74638,0.8181,0.52416,2.82367,1.88697,2.75909,0.00792862,0.00792862,0.00792862
70,15945.7,2.73435,2.13541,2.61505,0.83508,0.74369,0.81961,0.52597,2.82413,1.8853,2.75875,0.00789815,0.00789815,0.00789815
71,16220.7,2.71679,2.11213,2.60272,0.82662,0.75761,0.82383,0.52964,2.81388,1.87066,2.75352,0.00786769,0.00786769,0.00786769
72,16455.2,2.71899,2.11671,2.60044,0.8225,0.75908,0.82635,0.53038,2.80384,1.85676,2.74768,0.00783723,0.00783723,0.00783723
73,16687.5,2.71045,2.11073,2.60629,0.83348,0.74772,0.82774,0.53234,2.79477,1.85636,2.74342,0.00780677,0.00780677,0.00780677
74,16920.2,2.68663,2.08491,2.59254,0.82988,0.75462,0.82876,0.53412,2.7839,1.86047,2.73887,0.00777631,0.00777631,0.00777631
75,17161.5,2.68025,2.07467,2.58406,0.84114,0.74526,0.82785,0.53577,2.77817,1.85376,2.72856,0.00774585,0.00774585,0.00774585
76,17396.5,2.70001,2.08314,2.57838,0.83243,0.75284,0.82688,0.53626,2.77042,1.84737,2.72533,0.00771538,0.00771538,0.00771538
77,17637.6,2.69452,2.0788,2.59006,0.83463,0.75329,0.82715,0.53567,2.76479,1.85027,2.72353,0.00768492,0.00768492,0.00768492
78,17885.9,2.68807,2.0804,2.58752,0.83694,0.75157,0.82811,0.53791,2.75962,1.85134,2.71833,0.00765446,0.00765446,0.00765446
79,18129.8,2.68288,2.06516,2.57952,0.8438,0.7466,0.82832,0.5407,2.75121,1.84749,2.71263,0.007624,0.007624,0.007624
80,18374.4,2.68395,2.06816,2.57347,0.85176,0.74437,0.82934,0.54277,2.74596,1.84121,2.7096,0.00759354,0.00759354,0.00759354
81,18618.3,2.65731,2.06237,2.578,0.84791,0.75421,0.83066,0.54432,2.73998,1.83843,2.70635,0.00756308,0.00756308,0.00756308
82,18859.1,2.67943,2.03785,2.58074,0.85797,0.74856,0.83154,0.54488,2.7402,1.83313,2.70549,0.00753262,0.00753262,0.00753262
